Import Rates,Export Rates
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.23718,0.23718
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
0.13032,0.13032
